Description,Qty,Total Amount,all_nan,Branch,Division,Group
PISTACHIO YOGHURT COMBO X-LARGE,10.0,"6,618.62",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
LOTUS YOGHURT SMALL,36.5,"10,943.81",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
LOTUS YOGHURT MEDIUM,10.5,"3,398.35",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
LOTUS YOGHURT COMBO SMALL,1676.7,"501,403.52",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
LOTUS YOGHURT COMBO MEDIUM,526.0,"205,553.18",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
LOTUS YOGHURT COMBO X-LARGE,30.0,"15,528.83",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
POMEGRANATE YOGHURT SMALL,59.0,"16,863.81",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
POMEGRANATE YOGHURT COMBO SMALL,1895.2,"624,325.53",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
POMEGRANATE YOGHURT COMBO MEDIUM,552.0,"217,432.49",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
POMEGRANATE YOGHURT MEDIUM,14.5,"4,830.48",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
POMEGRANATE YOGHURT X-LARGE,2.0,933.33,False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
POMEGRANATE YOGHURT COMBO X-LARGE,47.0,"24,619.52",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
TASTING CUP MANGO,937.0,0.00,False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
TASTING CUP CHOCOLATE,859.0,0.00,False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
TASTING CUP OREO,68.0,0.00,False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
TASTING CUP POMEGRANATE,889.0,0.00,False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
TASTING CUP SPECULOSE LOTUS,678.0,0.00,False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
TASTING CUP ORIGINAL YOUGHURT,910.5,0.00,False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
BLUEBERRY YOGHURT SMALL,38.0,"10,596.64",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
BLUEBERRY YOGHURT COMBO SMALL,2375.9,"778,823.13",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
BLUEBERRY YOGHURT MEDIUM,12.0,"3,975.98",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
BLUEBERRY YOGHURT COMBO MEDIUM,763.7,"302,036.94",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
BLUEBERRY YOGHURT X-LARGE,0.5,233.33,False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
BLUEBERRY YOGHURT COMBO X-LARGE,51.0,"26,773.27",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
TASTING CUP BLUEBERRY,631.0,0.00,False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
TASTING CUP PISTACHIO,339.0,0.00,False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
LOTUS SPREAD YOGHURT COMBO MEDIUM,140.6,"55,123.12",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
LOTUS SPREAD YOGHURT COMBO SMALL,369.0,"116,903.90",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
LOTUS SPREAD YOGHURT COMBO X-LARGE,7.5,"3,879.88",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
LOTUS SPREAD YOGHURT MEDIUM,2.0,660.66,False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
LOTUS SPREAD YOGHURT SMALL,24.5,"4,654.65",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
LOTUS SPREAD YOGHURT X-LARGE,0.5,225.23,False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
TASTING CUP LOTUS SPREAD,177.0,0.00,False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
Total by Group: FROZEN YOGHURT,32214.7500000000,"9,204,122.52",False,Stories Batroun,FROZEN YOGHURT,FROZEN YOGHURT
Total by Division: FROZEN YOGHURT,119346.25,"9,612,427.81",False,Stories Batroun,FROZEN YOGHURT,
TUNA SUB,233.0,"82,285.62",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
VEGGIE SUB,2555.0,"13,736.34",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
TURKEY & CHEESE SUB,1034.0,"374,979.10",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
CHICKEN TERIAKI SUB,220.0,"74,136.04",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
BROWN CHICKEN TERIAKI SUB,192.0,"70,219.82",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
BROWN TUNA SUB,316.0,"121,828.11",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
BROWN TURKEY & CHEESE SUB,1707.0,"670,861.14",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
BROWN VEGGIE SUB,34.0,"13,162.76",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
PESTO HALLOUMI SUB,530.0,"152,385.95",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
LABNEH SUB,604.0,"50,869.19",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
BROWN LABNEH SUB,265.0,"75,035.95",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
BROWN PESTO HALLOUMI SUB,1023.0,"334,696.40",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
BROWN CHICKEN CAESAR SANDWICH,521.0,"248,429.73",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
CHICKEN CAESAR SANDWICH,522.0,"233,792.01",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
PULLED BEEF CHIMICHURRI SANDWICH,4.0,"1,681.68",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
BROWN PULLED BEEF CHIMICHURRI SANDWICH,5.0,"2,252.25",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
Total by Group: SUB SANDWICHES,9765.0,"2,520,352.08",False,Stories Batroun,SANDWICHES,SUB SANDWICHES
Total by Division: SANDWICHES,9765.0,"2,520,352.08",False,Stories Batroun,SANDWICHES,
CLASSIC CINNAMON ROLL LARGE,2747.0,"757,731.23",False,Stories Batroun,CINNAMON ROLLS,CINNAMONS
CHOCOLATE ROLL LARGE,697.0,"192,792.79",False,Stories Batroun,CINNAMON ROLLS,CINNAMONS
RED CINNAMON ROLL,86.0,"28,468.47",False,Stories Batroun,CINNAMON ROLLS,CINNAMONS
LOTUS ROLL,114.0,"41,131.53",False,Stories Batroun,CINNAMON ROLLS,CINNAMONS
Total by Group: CINNAMONS,3644.0,"1,020,124.03",False,Stories Batroun,CINNAMON ROLLS,CINNAMONS
Total by Division: CINNAMON ROLLS,3644.0,"1,020,124.03",False,Stories Batroun,CINNAMON ROLLS,
CARTON HANDLE BAG,10.0,0.00,False,Stories Batroun,CARTON,PACKAGING
SMALL DESSERT BOX(1PCS),10.0,0.00,False,Stories Batroun,CARTON,PACKAGING
Total by Group: PACKAGING,20.0,0.00,False,Stories Batroun,CARTON,PACKAGING
Total by Division: CARTON,20.0,0.00,False,Stories Batroun,CARTON,
TUNA PASTA SALAD/NOT USED,3.0,"1,400.00",False,Stories Batroun,NOT USED,NOT USED
QUINOA SALAD/NOT USED,3.0,"1,400.00",False,Stories Batroun,NOT USED,NOT USED
CHOCOLATE PLUS,21.0,"2,108.41",False,Stories Batroun,NOT USED,NOT USED
CHICKEN BREAST SUB,7.0,"2,493.99",False,Stories Batroun,NOT USED,NOT USED
PRUNELLE THYME CROISSANT/NOT USED,191.0,"38,220.00",False,Stories Batroun,NOT USED,NOT USED
PRUNELLE CHEESE CROISSANT/NOT USED,334.0,"66,840.00",False,Stories Batroun,NOT USED,NOT USED
PRUNELLE CHOCOLATE CROISSANT/NOT USED,283.0,"56,720.00",False,Stories Batroun,NOT USED,NOT USED
BROWN CHICKEN BREAST SUB,3.0,"1,160.36",False,Stories Batroun,NOT USED,NOT USED
BROWN SALAMI & PEPPERONI SUB/NOT USED,3.0,"1,200.00",False,Stories Batroun,NOT USED,NOT USED
ROCCA SALAD/NOT USED,1.0,333.33,False,Stories Batroun,NOT USED,NOT USED
TIRAMISU ROLL/not used,3.0,"1,100.00",False,Stories Batroun,NOT USED,NOT USED
ROCCA SALAD (GRAB&GO),89.0,"37,691.89",False,Stories Batroun,NOT USED,NOT USED
STEVIA SUGAR SACHET/NOT USED,71.0,0.00,False,Stories Batroun,NOT USED,NOT USED
POMEGRANATE CUP/NOT USED,102.0,"20,400.00",False,Stories Batroun,NOT USED,NOT USED
NY STYLE COOKIE -PISTACHIO,15.0,"5,000.00",False,Stories Batroun,NOT USED,NOT USED
TASTING CUP DRAGON FRUIT YOGHURT/NOT USED,3.0,0.00,False,Stories Batroun,NOT USED,NOT USED
JOYCREAM FRUIT ROUGES,41.0,"3,981.08",False,Stories Batroun,NOT USED,NOT USED
BROWN FILET STEAK SANDWICH,30.0,"15,000.00",False,Stories Batroun,NOT USED,NOT USED
FILET STEAK SANDWICH,29.0,"13,533.75",False,Stories Batroun,NOT USED,NOT USED
NY STYLE COOKIE/NOT USED,14.0,"4,700.00",False,Stories Batroun,NOT USED,NOT USED
GRILLED VEGGIE SUB,33.0,"2,148.35",False,Stories Batroun,NOT USED,NOT USED
BROWN GRILLED VEGGIE SUB,4.0,"1,900.90",False,Stories Batroun,NOT USED,NOT USED
PRUNELLE PLAIN CROISSANT/NOT USED,123.0,"24,660.00",False,Stories Batroun,NOT USED,NOT USED
LEBANESE SALAD (GRAB&GO),20.0,"9,333.33",False,Stories Batroun,NOT USED,NOT USED
ADD STEAK,31.0,"4,106.91",False,Stories Batroun,NOT USED,NOT USED
PISTACHIO COOKIES/NOT USED,10.0,"2,666.67",False,Stories Batroun,NOT USED,NOT USED
BROOKIES/NOT USED,7.0,"1,866.67",False,Stories Batroun,NOT USED,NOT USED
RASPBERRY COOKIES/NOT USED,4.0,"1,066.67",False,Stories Batroun,NOT USED,NOT USED
NY STYLE COOKIE - RED PISTACHIO/NOT USED,3.0,"1,000.00",False,Stories Batroun,NOT USED,NOT USED
LYCHEE BOBA/NOT USED,1.0,0.00,False,Stories Batroun,NOT USED,NOT USED
STRAWBERRY BOBA/NOT USED,18.0,0.00,False,Stories Batroun,NOT USED,NOT USED
GRANELLA DI BISCOTTO COMBO,271.0,0.00,False,Stories Batroun,NOT USED,NOT USED
KROCCO MILK,1.0,90.09,False,Stories Batroun,NOT USED,NOT USED
COOKIES & MILK,53.0,"5,279.28",False,Stories Batroun,NOT USED,NOT USED
VALENTINE HOT CHOCOLATE/NOT USED,84.0,"30,836.67",False,Stories Batroun,NOT USED,NOT USED
GRANELLA DI BISCOTTO,2.0,200.00,False,Stories Batroun,NOT USED,NOT USED
NUTELLA ROLL,311.0,"114,130.72",False,Stories Batroun,NOT USED,NOT USED
BROWN ASIAN CRAB SANDWICH,13.0,"4,803.60",False,Stories Batroun,NOT USED,NOT USED
ASIAN CRAB SANDWICH,12.0,"3,963.96",False,Stories Batroun,NOT USED,NOT USED
ADD CRAB,4.0,480.48,False,Stories Batroun,NOT USED,NOT USED
BERRIES SNACKOLOSI,2.0,204.20,False,Stories Batroun,NOT USED,NOT USED
Total by Group: NOT USED,2253.0,"482,021.32",False,Stories Batroun,NOT USED,NOT USED
Total by Division: NOT USED,2253.0,"482,021.32",False,Stories Batroun,NOT USED,
ADD SMOKED TURKEY,273.0,"27,654.65",False,Stories Batroun,SUBS,ADD ONS
ADD CHEDDAR CHEESE,9.0,586.79,False,Stories Batroun,SUBS,ADD ONS
ADD TUNA,117.5,"16,024.74",False,Stories Batroun,SUBS,ADD ONS
ADD CHICKEN,290.0,"39,827.63",False,Stories Batroun,SUBS,ADD ONS
ADD HALLOUM CHEESE,92.0,"8,734.23",False,Stories Batroun,SUBS,ADD ONS
ADD PULLED BEEF,29.0,"4,354.35",False,Stories Batroun,SUBS,ADD ONS
Total by Group: ADD ONS,810.5,"97,182.40",False,Stories Batroun,SUBS,ADD ONS
Total by Division: SUBS,810.5,"97,182.40",False,Stories Batroun,SUBS,
LATTE COMBO,1.0,0.00,False,Stories Batroun,POP UP BEVERAGE,POP UP BEVERAGE
SALTED CARAMEL LATTE COMBO,1.0,0.00,False,Stories Batroun,POP UP BEVERAGE,POP UP BEVERAGE
MOCHA COMBO,1.0,0.00,False,Stories Batroun,POP UP BEVERAGE,POP UP BEVERAGE
Total by Group: POP UP BEVERAGE,3.0,0.00,False,Stories Batroun,POP UP BEVERAGE,POP UP BEVERAGE
Total by Division: POP UP BEVERAGE,3.0,0.00,False,Stories Batroun,POP UP BEVERAGE,
CINNAMON ROLL+DRINK,2.0,780.78,False,Stories Batroun,OFFER,OFFER
TURKEY & CHEESE SUB+DRINK,1.0,480.48,False,Stories Batroun,OFFER,OFFER
Total by Group: OFFER,3.0,"1,261.26",False,Stories Batroun,OFFER,OFFER
Total by Division: OFFER,3.0,"1,261.26",False,Stories Batroun,OFFER,
FREEZE DROPS STRAWBERRY,583.0,"116,288.89",False,Stories Batroun,GRAB&GO FOOD,PACKAGED FOOD
MEDIUM CHIPS,614.0,"39,261.92",False,Stories Batroun,GRAB&GO FOOD,PACKAGED FOOD
MATCHA CUP,13.0,"2,732.73",False,Stories Batroun,GRAB&GO FOOD,PACKAGED FOOD
VANILLA  ASH,35.0,"7,357.36",False,Stories Batroun,GRAB&GO FOOD,PACKAGED FOOD
BEETROOT CUP,23.0,"4,834.83",False,Stories Batroun,GRAB&GO FOOD,PACKAGED FOOD
CHOCOLATE SP/MO,74.0,"15,555.56",False,Stories Batroun,GRAB&GO FOOD,PACKAGED FOOD
HONEY PEANUT ST BITES,100.0,"16,216.22",False,Stories Batroun,GRAB&GO FOOD,PACKAGED FOOD
SPECIALITY COFFEE ST BITES,77.0,"12,486.49",False,Stories Batroun,GRAB&GO FOOD,PACKAGED FOOD
Total by Group: PACKAGED FOOD,1519.0,"214,733.99",False,Stories Batroun,GRAB&GO FOOD,PACKAGED FOOD
GREEK SALAD (GRAB&GO),83.0,"36,838.08",False,Stories Batroun,GRAB&GO FOOD,SALADS
QUINOA SALAD (GRAB&GO),175.0,"81,321.92",False,Stories Batroun,GRAB&GO FOOD,SALADS
TUNA PASTA SALAD (GRAB&GO),263.0,"122,195.62",False,Stories Batroun,GRAB&GO FOOD,SALADS
ASIAN SALAD (GRAB&GO),130.0,"57,194.83",False,Stories Batroun,GRAB&GO FOOD,SALADS
CAESER SALAD (GRAB&GO),20.0,"8,408.41",False,Stories Batroun,GRAB&GO FOOD,SALADS
CHICKEN CAESER SALAD (GRAB&GO),80.0,"36,997.00",False,Stories Batroun,GRAB&GO FOOD,SALADS
MEXICAN FEISTA SALAD,6.0,"2,882.88",False,Stories Batroun,GRAB&GO FOOD,SALADS
CHICKEN VERDE SALAD,4.0,"1,849.85",False,Stories Batroun,GRAB&GO FOOD,SALADS
PASTA PESTO SALAD,4.0,"1,921.92",False,Stories Batroun,GRAB&GO FOOD,SALADS
Total by Group: SALADS,765.0,"349,610.51",False,Stories Batroun,GRAB&GO FOOD,SALADS
PINEAPPLE CUP,333.0,"119,846.58",False,Stories Batroun,GRAB&GO FOOD,FRUITS
BOUMALI CUP,258.0,"48,623.42",False,Stories Batroun,GRAB&GO FOOD,FRUITS
Total by Group: FRUITS,591.0,"168,470.00",False,Stories Batroun,GRAB&GO FOOD,FRUITS
TIRAMISU CUP,233.0,"87,462.46",False,Stories Batroun,GRAB&GO FOOD,PACKAGED DESSERT
MAK BAR CHOCOLATE CRUNCH,4.0,936.94,False,Stories Batroun,GRAB&GO FOOD,PACKAGED DESSERT
MAK BAR PRO VANILLE,4.0,"1,129.13",False,Stories Batroun,GRAB&GO FOOD,PACKAGED DESSERT
MAK BAR PRO COOKIES CREAM,8.0,"2,258.26",False,Stories Batroun,GRAB&GO FOOD,PACKAGED DESSERT
MAK BAR WHITE ALMOND CRUNCH,7.0,"1,639.64",False,Stories Batroun,GRAB&GO FOOD,PACKAGED DESSERT
Total by Group: PACKAGED DESSERT,256.0,"93,426.43",False,Stories Batroun,GRAB&GO FOOD,PACKAGED DESSERT
Total by Division: GRAB&GO FOOD,3131.0,"826,240.93",False,Stories Batroun,GRAB&GO FOOD,
PISTACHIO CREAM DOUGHNUTS,102.0,"20,420.00",False,Stories Batroun,DONUTS,DONUTS
BOSTON CREAM DONUT,99.0,"19,940.00",False,Stories Batroun,DONUTS,DONUTS
OREO DOUGHNUTS,92.0,"18,420.00",False,Stories Batroun,DONUTS,DONUTS
HAZELNUT DOUGHNUTS,94.0,"18,800.00",False,Stories Batroun,DONUTS,DONUTS
STRAWBERRY DOUGHNUTS,90.0,"18,020.00",False,Stories Batroun,DONUTS,DONUTS
LOTUS DOUGHNUTS,105.0,"21,040.00",False,Stories Batroun,DONUTS,DONUTS
KINDER DOUGHNUTS,137.0,"27,460.00",False,Stories Batroun,DONUTS,DONUTS
Total by Group: DONUTS,719.0,"144,100.00",False,Stories Batroun,DONUTS,DONUTS
Total by Division: DONUTS,719.0,"144,100.00",False,Stories Batroun,DONUTS,
Total by Branch: Stories Batroun,"371,889.05","49,353,274.61",False,Stories Batroun,,
ESPRESSO,2857.0,"437,713.84",False,Stories Saida,HOT BAR SECTION,BLACK COFFEE
DOUBLE ESPRESSO,3707.0,"628,525.10",False,Stories Saida,HOT BAR SECTION,BLACK COFFEE
AMERICANO SMALL,1353.0,"255,194.02",False,Stories Saida,HOT BAR SECTION,BLACK COFFEE
AMERICANO MEDIUM,828.0,"182,198.74",False,Stories Saida,HOT BAR SECTION,BLACK COFFEE
AMERICANO LARGE,202.0,"50,599.71",False,Stories Saida,HOT BAR SECTION,BLACK COFFEE
BLACK COFFEE SMALL,2431.0,"344,464.86",False,Stories Saida,HOT BAR SECTION,BLACK COFFEE
BLACK COFFEE MEDIUM,1221.0,"244,966.43",False,Stories Saida,HOT BAR SECTION,BLACK COFFEE
BLACK COFFEE LARGE,213.0,"49,503.90",False,Stories Saida,HOT BAR SECTION,BLACK COFFEE
SINGLE ESPRESSO MACC,93.0,"14,226.19",False,Stories Saida,HOT BAR SECTION,BLACK COFFEE
DOUBLE ESPRESSO MAC,161.0,"29,895.06",False,Stories Saida,HOT BAR SECTION,BLACK COFFEE
TRIPLE ESPRESSO,754.0,"4,825.65",False,Stories Saida,HOT BAR SECTION,BLACK COFFEE
SINGLE LONGO,266.0,"47,828.83",False,Stories Saida,HOT BAR SECTION,BLACK COFFEE
DOUBLE LONGO,146.0,"27,002.88",False,Stories Saida,HOT BAR SECTION,BLACK COFFEE
Total by Group: BLACK COFFEE,14232.0,"2,316,945.21",False,Stories Saida,HOT BAR SECTION,BLACK COFFEE
LATTE SMALL,3476.0,"676,016.63",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
LATTE MEDIUM,4210.0,"952,122.85",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
CAPPUCCINO SMALL,1670.0,"325,979.25",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
CAPPUCCINO MEDIUM,1567.0,"354,942.73",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
MOCHA SMALL,1030.0,"192,921.36",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
MOCHA MEDIUM,1113.0,"287,626.26",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
WHITE MOCHA SMALL,1837.0,"322,484.13",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
WHITE MOCHA MEDIUM,2137.0,"551,107.40",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
CARAMEL MACHIATO SMALL,1272.0,"285,307.98",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
CARAMEL MACHIATO MEDIUM,1964.0,"508,520.41",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
SIGNATURE HOT CHOCOLATE SMALL,1067.0,"241,805.49",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
SIGNATURE HOT CHOCOLATE MEDIUM,1133.0,"302,072.19",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
STEAMED MILK SMALL,40.75,"4,627.93",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
STEAMED MILK MEDIUM,25.0,"4,235.89",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
LATTE LARGE,509.0,"136,602.04",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
MOCHA  LARGE,114.0,"34,369.13",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
CAPPUCCINO LARGE,220.0,"58,924.44",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
STEAMED MILK LARGE,2.0,398.20,False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
WHITE MOCHA LARGE,264.0,"79,236.88",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
CARAMEL MACCHIATO LARGE,137.0,"41,596.52",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
MATCHA LATTE SMALL,381.0,"74,510.52",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
MATCHA LATTE MEDIUM,673.0,"152,246.17",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
MATCHA LATTE LARGE,87.0,"23,406.25",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
FLAT WHITE,1560.0,"229,310.53",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
HOT DOUBLE SHOT SMALL,572.0,"88,522.04",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
HOT DOUBLE SHOT MEDIUM,447.0,"119,142.94",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
HOT DOUBLE SHOT LARGE,43.0,"14,168.47",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
TOFFEE NUT LATTE MEDIUM,413.0,"110,557.84",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
TOFFEE NUT LATTE SMALL,230.0,"53,589.61",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
CLASSIC HOT CHOC SMALL,439.0,"98,261.16",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
CLASSIC HOT CHOC MEDIUM,545.0,"140,786.87",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
HOT DOUBLE SHOT TOFFEE NUT SMALL,7.0,"1,597.60",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
HOT DOUBLE SHOT TOFFEE NUT MEDIUM,4.0,"1,194.29",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
CLASSIC HOT CHOC LARGE,42.0,"12,847.51",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
SPANISH LATTE SMALL,1462.0,"267,248.71",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
SPANISH LATTE MEDIUM,1753.0,"517,254.08",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
SALTED CARAMEL LATTE SMALL,147.0,"30,977.45",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
SALTED CARAMEL LATTE MEDIUM,171.0,"46,097.78",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
SALTED CARAMEL LATTE LARGE,15.0,"4,948.95",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
SIGNATURE HOT CHOCOLATE LARGE,70.0,"21,104.74",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
TOFFEE NUT LATTE LARGE,16.0,"5,318.32",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
Total by Group: MIXED HOT BEVERAGE,32864.75,"7,373,989.56",False,Stories Saida,HOT BAR SECTION,MIXED HOT BEVERAGE
ENGLISH BREAKFAST TEA MEDIUM,620.0,"71,947.60",False,Stories Saida,HOT BAR SECTION,TEA
EARL GREY LAVENDER TEA MEDIUM,278.0,"44,129.13",False,Stories Saida,HOT BAR SECTION,TEA
ORGANIC GREEN TEA MEDIUM,469.0,"72,725.38",False,Stories Saida,HOT BAR SECTION,TEA
SOUTHERN MINT HERBAL TEA MEDIUM,313.0,"48,486.49",False,Stories Saida,HOT BAR SECTION,TEA
ADD ENGLISH BREAKFAST TEA BAG,8.0,310.21,False,Stories Saida,HOT BAR SECTION,TEA
ADD EARL GREY LAVENDER  BAG,1.0,42.04,False,Stories Saida,HOT BAR SECTION,TEA
ADD GREEN TEA BAG,9.0,382.88,False,Stories Saida,HOT BAR SECTION,TEA
GOLDEN CHAMOMILE HERBAL TEA MEDIUM,295.0,"47,348.35",False,Stories Saida,HOT BAR SECTION,TEA
SWEET GINGER PEACH BLACK TEA MEDIUM,54.0,"8,666.67",False,Stories Saida,HOT BAR SECTION,TEA
ADD GOLDEN CHAMOMILE HERBAL TEA BAG,2.0,75.38,False,Stories Saida,HOT BAR SECTION,TEA
ADD SWEET GINGER PEACH BLACK  TEA BAG,2.0,66.67,False,Stories Saida,HOT BAR SECTION,TEA
BOMBAY CHAI BLACK TEA MEDIUM,167.0,"25,246.25",False,Stories Saida,HOT BAR SECTION,TEA
MEDITERRANEAN CARAMEL TEA MEDIUM,53.0,"8,834.83",False,Stories Saida,HOT BAR SECTION,TEA
LEMONGRASS&ORANGE TEA MEDIUM,87.0,"13,798.80",False,Stories Saida,HOT BAR SECTION,TEA
ADD LEMONGRASS&ORANGE TEA BAG,1.0,42.04,False,Stories Saida,HOT BAR SECTION,TEA
Total by Group: TEA,2359.0,"342,102.70",False,Stories Saida,HOT BAR SECTION,TEA
YIRGACHEFFE BEANS 250G,22.0,"14,204.20",False,Stories Saida,HOT BAR SECTION,BEANS
HOUSE BLEND BEANS 250G,5.0,"2,560.96",False,Stories Saida,HOT BAR SECTION,BEANS
AMERICAN COFFEE BEANS 250G,10.0,"4,804.80",False,Stories Saida,HOT BAR SECTION,BEANS
Total by Group: BEANS,37.0,"21,569.97",False,Stories Saida,HOT BAR SECTION,BEANS
Total by Division: HOT BAR SECTION,49492.75,"10,054,607.44",False,Stories Saida,HOT BAR SECTION,
ICED AMERICANO SMALL,391.0,"67,604.47",False,Stories Saida,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED AMERICANO MEDIUM,584.0,"133,519.41",False,Stories Saida,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED LATTE SMALL,1631.0,"311,335.80",False,Stories Saida,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED LATTE MEDIUM,3447.0,"797,847.14",False,Stories Saida,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED MOCHA SMALL,326.0,"66,857.48",False,Stories Saida,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED MOCHA MEDIUM,792.0,"210,995.80",False,Stories Saida,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED WHITE MOCHA SMALL,744.0,"163,930.87",False,Stories Saida,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED WHITE MOCHA MEDIUM,2048.0,"546,057.06",False,Stories Saida,COLD BAR SECTION,MIXED COLD BEVERAGES
